Geography,Percent; RACE - One race,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - Asian,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Some other race,Percent; RACE - Two or more races
"Census Tract 710, Cook County, Illinois",96.6,82.3,4,0.1,8.3,0,1.9,3.4
"Census Tract 711, Cook County, Illinois",96.4,89.9,2.8,0.2,3.1,0,0.4,3.6
"Census Tract 712, Cook County, Illinois",99.5,85.6,4.2,0,9.8,0,0,0.5
"Census Tract 713, Cook County, Illinois",99.2,90.4,3.1,0,5.4,0.4,0,0.8
"Census Tract 714, Cook County, Illinois",97.9,87,3.2,0.3,5.3,0,2,2.1
"Census Tract 715, Cook County, Illinois",98.9,88.3,4.1,0,5.2,0,1.3,1.1
"Census Tract 716, Cook County, Illinois",95.2,86.2,4.7,0,3.7,0,0.6,4.8
"Census Tract 717, Cook County, Illinois",99,77.6,14.2,0.5,5.8,0,0.8,1
"Census Tract 718, Cook County, Illinois",98,78.5,13.7,0,5.3,0,0.6,2
"Census Tract 801, Cook County, Illinois",97.4,88.2,4.4,0,4.2,0,0.6,2.6
"Census Tract 802.01, Cook County, Illinois",98.3,89.1,5.1,0,3.2,0,1,1.7
"Census Tract 802.02, Cook County, Illinois",99.6,85.2,5,0,9.4,0,0,0.4
"Census Tract 803, Cook County, Illinois",98.4,79.3,7.3,0,10.9,0,1,1.6
"Census Tract 804, Cook County, Illinois",98.1,35.7,57.9,2.6,1.8,0,0,1.9
"Census Tract 810, Cook County, Illinois",98.4,72.4,10.4,0,13,0,2.5,1.6
"Census Tract 811, Cook County, Illinois",99,80.5,10.4,0.6,3.5,0,4,1
"Census Tract 812.01, Cook County, Illinois",98,82.3,2.5,0,12.2,0,1,2
"Census Tract 812.02, Cook County, Illinois",98.8,89.8,0,0,3.6,0,5.3,1.2
"Census Tract 813, Cook County, Illinois",99,79.2,5.4,0,14.4,0,0,1
"Census Tract 814.01, Cook County, Illinois",98.9,70,17.5,0,11.4,0,0,1.1
"Census Tract 814.02, Cook County, Illinois",99,77.7,4.5,0.8,15.9,0,0,1
"Census Tract 814.03, Cook County, Illinois",98,70.7,1.7,0,23,0,2.7,2
"Census Tract 815, Cook County, Illinois",97.4,79.9,0.5,0,16.6,0,0.3,2.6
"Census Tract 816, Cook County, Illinois",94.7,76,1.7,0,12.2,0,4.9,5.3
"Census Tract 817, Cook County, Illinois",99.5,72.6,5.1,0,13.7,0,8.1,0.5
"Census Tract 818, Cook County, Illinois",97.2,85.5,2.6,0.5,7.9,0,0.8,2.8
"Census Tract 819, Cook County, Illinois",94.2,34.8,52,0,7,0,0.5,5.8
"Census Tract 901, Cook County, Illinois",99.2,95.5,0,0,1.6,0,2.1,0.8
"Census Tract 902, Cook County, Illinois",98.8,95.2,0,0,3,0,0.6,1.2
"Census Tract 903, Cook County, Illinois",99.7,98.2,0,0,1.5,0,0,0.3
"Census Tract 1001, Cook County, Illinois",94.4,87.2,0.5,0,4.7,0,2,5.6
"Census Tract 1002, Cook County, Illinois",98.9,83.6,3.2,0.5,2.7,0.2,8.7,1.1
"Census Tract 1003, Cook County, Illinois",96.3,92.9,1.4,0.1,1.3,0,0.6,3.7
"Census Tract 1004, Cook County, Illinois",99,97.5,0.1,0,1.4,0,0,1
"Census Tract 1005, Cook County, Illinois",98.2,90.6,0.1,0.7,2.7,0,4.1,1.8
"Census Tract 1006, Cook County, Illinois",97.3,86.6,0.4,0,6.4,0,3.8,2.7
"Census Tract 1007, Cook County, Illinois",100,87.3,0.4,0,8.8,0,3.5,0
"Census Tract 1101, Cook County, Illinois",97.6,79.2,1.3,0,10.9,0,6.2,2.4
"Census Tract 1102, Cook County, Illinois",97,81.8,0.5,0.7,13.1,0,0.9,3
"Census Tract 1103, Cook County, Illinois",98.4,86,0.7,0.9,9.9,0,0.8,1.6
"Census Tract 1104, Cook County, Illinois",96.7,81.8,0.5,0,7.6,0,6.7,3.3
"Census Tract 1105.01, Cook County, Illinois",97.1,79.9,3.2,0,9.3,0,4.7,2.9
"Census Tract 1105.02, Cook County, Illinois",97.7,77.2,1,0,10.3,0,9.2,2.3
"Census Tract 1201, Cook County, Illinois",98.5,91.7,0.1,0,5.4,0,1.4,1.5
"Census Tract 1202, Cook County, Illinois",96.9,83.4,0.8,0.4,11.4,0,0.9,3.1
"Census Tract 1203, Cook County, Illinois",97.4,76,1.7,0,16.7,0,2.9,2.6
"Census Tract 1204, Cook County, Illinois",97.7,64.9,0,0,14.5,0,18.2,2.3
"Census Tract 1301, Cook County, Illinois",99.4,66.9,1.3,0.6,26.7,0,4.1,0.6
"Census Tract 1302, Cook County, Illinois",99.1,84.7,3.8,0,10.6,0,0,0.9
"Census Tract 1303, Cook County, Illinois",95.9,50,2.6,0,35.9,0,7.3,4.1
"Census Tract 1401, Cook County, Illinois",98.1,41.3,10.2,0,13.9,0,32.7,1.9
"Census Tract 1402, Cook County, Illinois",96.2,41.3,3.6,1.2,15.8,1.9,32.4,3.8
"Census Tract 1403.01, Cook County, Illinois",99.5,38.3,1.6,0,16.1,0,43.5,0.5
"Census Tract 1403.02, Cook County, Illinois",97.6,38.7,8.8,0,21.8,0,28.2,2.4
"Census Tract 1404, Cook County, Illinois",93.9,56.1,1,0,24.6,0,12.1,6.1
"Census Tract 1405, Cook County, Illinois",94,58.3,3.4,0.2,8.5,0,23.6,6
"Census Tract 1406.01, Cook County, Illinois",97.8,30.7,4,0,13.4,0,49.8,2.2
"Census Tract 1406.02, Cook County, Illinois",97.4,42.3,5,0,6.1,0,44,2.6
"Census Tract 1407.01, Cook County, Illinois",95.9,63.2,3,0,8.1,0,21.7,4.1
"Census Tract 1407.02, Cook County, Illinois",94.8,54.9,6,0.1,9,0,24.8,5.2
"Census Tract 1408, Cook County, Illinois",95.9,60.1,1.5,0,9.1,0.5,24.8,4.1
"Census Tract 1502, Cook County, Illinois",96.3,65.2,3.2,0,5.8,0,22.2,3.7
"Census Tract 1503, Cook County, Illinois",95.3,73.9,1.5,0,0.9,0,19,4.7
"Census Tract 1504.01, Cook County, Illinois",99.2,78.1,0.5,0,5.7,0,15,0.8
"Census Tract 1504.02, Cook County, Illinois",95.7,74,0,0,2.3,0,19.4,4.3
"Census Tract 1505.01, Cook County, Illinois",98.6,76.3,0.1,0,8.3,0,13.9,1.4
"Census Tract 1505.02, Cook County, Illinois",96.2,62.4,0.5,0,3.1,0,30.2,3.8
"Census Tract 1506, Cook County, Illinois",97.6,77,0,0,3.8,0,16.9,2.4
"Census Tract 1507, Cook County, Illinois",97.9,75.4,0.7,0.2,3.5,0,18.1,2.1
"Census Tract 1508, Cook County, Illinois",95.8,65.3,0.5,0,4.4,0,25.6,4.2
"Census Tract 1510.01, Cook County, Illinois",97.3,42.5,2.2,1.2,0,0,51.4,2.7
"Census Tract 1510.02, Cook County, Illinois",96.7,45.6,0.1,2.3,5.6,0.7,42.5,3.3
"Census Tract 1511, Cook County, Illinois",96.6,58.9,0.7,0.4,4.2,0.6,31.9,3.4
"Census Tract 1512, Cook County, Illinois",98.1,78.5,3.9,0,4.3,0,11.5,1.9
"Census Tract 1601, Cook County, Illinois",97.7,79.9,0,2.5,10.6,0,4.7,2.3
"Census Tract 1602, Cook County, Illinois",96.8,66.6,3.5,1.1,12.8,0,12.7,3.2
"Census Tract 1603, Cook County, Illinois",99.2,54.6,16,0.3,9.1,0,19.2,0.8
"Census Tract 1604, Cook County, Illinois",98.2,64.7,3,0,4.4,0,26.1,1.8
"Census Tract 1605.01, Cook County, Illinois",98.5,66.5,3.5,0,3.8,0,24.7,1.5
"Census Tract 1605.02, Cook County, Illinois",99.4,61,0.5,0,9.4,0,28.5,0.6
"Census Tract 1606.01, Cook County, Illinois",99.8,68.9,0.4,0,4.3,0,26.3,0.2
"Census Tract 1606.02, Cook County, Illinois",95.1,68.8,2.7,0,6.5,0,17.2,4.9
"Census Tract 1607, Cook County, Illinois",96.8,72.3,5,0.1,9.6,0,9.8,3.2
"Census Tract 1608, Cook County, Illinois",96.4,75.9,1,0,5.7,0,13.8,3.6
"Census Tract 1609, Cook County, Illinois",94.7,80,0.4,0,4.6,0,9.8,5.3
"Census Tract 1610, Cook County, Illinois",98,89.4,0.3,0.1,2.1,0,6.1,2
