GEO.display-label,HC03_VC48,HC03_VC49,HC03_VC50,HC03_VC56,HC03_VC64,HC03_VC69,HC03_VC70
"Census Tract 810, Cook County, Illinois",98.1,70.8,10.2,13.6,0,3.4,1.9
"Census Tract 811, Cook County, Illinois",96.8,77.7,10.4,5.2,0,3.6,3.2
"Census Tract 812.01, Cook County, Illinois",99,81.4,2.6,12.8,0,2.3,1
"Census Tract 812.02, Cook County, Illinois",98.8,89.9,0.8,5.2,0,3,1.2
"Census Tract 813, Cook County, Illinois",99,77,3.5,18.3,0,0.2,1
"Census Tract 814.01, Cook County, Illinois",94.7,72.7,13.8,8.2,0,0,5.3
"Census Tract 814.02, Cook County, Illinois",98.1,72.7,5.7,17.7,0,1.2,1.9
"Census Tract 814.03, Cook County, Illinois",98.9,70.5,3.1,23,0,1.7,1.1
"Census Tract 815, Cook County, Illinois",95.8,70.6,2.4,22.6,0,0.3,4.2
"Census Tract 816, Cook County, Illinois",94.6,74.2,3.8,15.8,0,0.7,5.4
"Census Tract 817, Cook County, Illinois",96.5,70.8,3.6,19.2,0,1.4,3.5
"Census Tract 818, Cook County, Illinois",97.8,87.7,2.4,6.6,0,0.3,2.2
"Census Tract 819, Cook County, Illinois",95,43,35,13.6,0,2.3,5
"Census Tract 901, Cook County, Illinois",98.5,93.4,0,1.3,0,3.8,1.5
"Census Tract 902, Cook County, Illinois",99.1,96.1,1.8,1.3,0,0,0.9
"Census Tract 903, Cook County, Illinois",98.6,95.5,0,2.8,0,0.4,1.4
"Census Tract 1001, Cook County, Illinois",98.1,93.1,0,4.8,0,0.2,1.9
"Census Tract 1002, Cook County, Illinois",98,89.7,3,0.2,0.2,4.8,2
"Census Tract 1003, Cook County, Illinois",94.9,87.8,1.5,5,0,0.4,5.1
"Census Tract 1004, Cook County, Illinois",97.6,94.3,0,2.4,0,0.9,2.4
"Census Tract 1005, Cook County, Illinois",94.7,82.9,0.4,2.5,0,8.1,5.3
"Census Tract 1006, Cook County, Illinois",98.4,87.7,1,5.8,0,3.9,1.6
"Census Tract 1007, Cook County, Illinois",98.3,84,0.7,9.4,0,4.2,1.7
"Census Tract 1101, Cook County, Illinois",98.6,82,0,7.3,0,9.3,1.4
"Census Tract 1102, Cook County, Illinois",92.3,73.6,1.9,11.1,0,4.4,7.7
"Census Tract 1103, Cook County, Illinois",97.6,81.5,0.8,11.5,0,3.4,2.4
"Census Tract 1104, Cook County, Illinois",96.1,80.7,0.6,6.8,0,8,3.9
"Census Tract 1105.01, Cook County, Illinois",96,78.7,0.8,11.5,0,5,4
"Census Tract 1105.02, Cook County, Illinois",96.4,78.2,2.4,6,0,9.8,3.6
