GEO.id,GEO.display-label,HC03_VC48,HC03_VC49,HC03_VC50,HC04_VC51,HC03_VC56,HC03_VC64,HC03_VC69,HC03_VC70
Id,Geography,Percent; RACE - One race,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent Margin of Error; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - Asian,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Some other race,Percent; RACE - Two or more races
1400000US17031150502,"Census Tract 1505.02, Cook County, Illinois",93.5,68.4,1.2,0.6,8.6,0,15.4,6.5
1400000US17031150600,"Census Tract 1506, Cook County, Illinois",97.7,70.5,0.2,0.7,6.7,0,20.3,2.3
1400000US17031150700,"Census Tract 1507, Cook County, Illinois",97.1,73.4,0.3,0.6,4,0,19.3,2.9
1400000US17031150800,"Census Tract 1508, Cook County, Illinois",97.8,55.1,1.4,0.5,6.1,0,35.3,2.2
1400000US17031151001,"Census Tract 1510.01, Cook County, Illinois",96.7,61.7,5.9,2,3.7,0,24,3.3
1400000US17031151002,"Census Tract 1510.02, Cook County, Illinois",98.6,60.8,0.3,0.3,1.3,0.6,35.4,1.4
1400000US17031151100,"Census Tract 1511, Cook County, Illinois",97.6,62.3,0.4,0.2,5,0.7,29,2.4
1400000US17031151200,"Census Tract 1512, Cook County, Illinois",97.1,79,0.6,0.8,2.1,0,15.4,2.9
1400000US17031160100,"Census Tract 1601, Cook County, Illinois",92.4,70.3,0.4,1.9,18.1,0,2.4,7.6
1400000US17031160200,"Census Tract 1602, Cook County, Illinois",97.1,81.3,1.5,2.2,4.8,0,7.9,2.9
1400000US17031160300,"Census Tract 1603, Cook County, Illinois",96.7,68.2,8.6,1.2,12.9,0,6.2,3.3
1400000US17031160400,"Census Tract 1604, Cook County, Illinois",98.7,82.8,5,0.6,5,0,6,1.3
1400000US17031160501,"Census Tract 1605.01, Cook County, Illinois",98.1,77,2.7,0.6,11.4,0,7,1.9
1400000US17031160502,"Census Tract 1605.02, Cook County, Illinois",97.8,80.4,1.5,0.7,9.5,0,6.3,2.2
1400000US17031160601,"Census Tract 1606.01, Cook County, Illinois",99.2,84.1,0.1,0.6,4.9,0,10.1,0.8
1400000US17031160602,"Census Tract 1606.02, Cook County, Illinois",93.2,72.5,3.4,0.7,9.9,0.8,6.6,6.8
1400000US17031160700,"Census Tract 1607, Cook County, Illinois",95.6,68.1,5.3,0.2,10.7,0,11.3,4.4
1400000US17031160800,"Census Tract 1608, Cook County, Illinois",97.6,76.7,2.5,0.5,8.4,0.3,9.8,2.4
1400000US17031160900,"Census Tract 1609, Cook County, Illinois",97.5,81.2,1.1,1.1,11.5,0,3.7,2.5
1400000US17031161000,"Census Tract 1610, Cook County, Illinois",97.3,83,1.4,1.4,3,0,9.9,2.7
1400000US17031161100,"Census Tract 1611, Cook County, Illinois",93.5,76.3,5.9,1.5,9.8,0,1.5,6.5
1400000US17031161200,"Census Tract 1612, Cook County, Illinois",93.1,76.3,0.4,0.9,5.8,0,10.6,6.9
1400000US17031161300,"Census Tract 1613, Cook County, Illinois",97.5,88.4,3,0.7,1.1,0,5.1,2.5
1400000US17031170100,"Census Tract 1701, Cook County, Illinois",100,89.9,5.6,1.4,2,0,2.4,0
1400000US17031170200,"Census Tract 1702, Cook County, Illinois",99.2,78.2,0,0.7,4.2,0,16.9,0.8
1400000US17031170300,"Census Tract 1703, Cook County, Illinois",98.4,81.1,0.1,0.3,5.4,0,11.6,1.6
1400000US17031170400,"Census Tract 1704, Cook County, Illinois",99.2,90.4,1.3,0.7,1.9,0,5.6,0.8
1400000US17031170500,"Census Tract 1705, Cook County, Illinois",98.3,90.3,0.6,0.5,4.1,0,3.4,1.7
1400000US17031170600,"Census Tract 1706, Cook County, Illinois",95.7,85.4,0.8,0.7,4.1,0,4.9,4.3
1400000US17031170700,"Census Tract 1707, Cook County, Illinois",98.4,88.9,0.3,0.9,5.3,0,3.9,1.6
1400000US17031170800,"Census Tract 1708, Cook County, Illinois",98.7,92,1,0.7,2.9,0.8,1.9,1.3
1400000US17031170900,"Census Tract 1709, Cook County, Illinois",100,78.3,6.3,1.6,1.8,0,13.6,0
1400000US17031171000,"Census Tract 1710, Cook County, Illinois",99.1,81.9,6.4,0.5,5.4,0.6,4.4,0.9
1400000US17031171100,"Census Tract 1711, Cook County, Illinois",97.6,82.1,2.4,0.7,4.5,0,8.5,2.4
1400000US17031180100,"Census Tract 1801, Cook County, Illinois",98.5,73.5,2.6,0.5,5.8,0,16.7,1.5
1400000US17031190100,"Census Tract 1901, Cook County, Illinois",97,39.9,1.5,1.1,4.2,0,51.4,3
1400000US17031190200,"Census Tract 1902, Cook County, Illinois",96.2,43.3,3.8,0.5,3,0,46.2,3.8
1400000US17031190300,"Census Tract 1903, Cook County, Illinois",98.3,59.6,1.6,0.8,1.4,0,35,1.7
1400000US17031190401,"Census Tract 1904.01, Cook County, Illinois",98.5,65.3,0,0.7,7,0,25.7,1.5
