GEO.display-label,HC03_VC42,HC03_VC43,HC03_VC44,HC03_VC45,HC03_VC50,HC03_VC58,HC03_VC63,HC03_VC64
Geography,Percent; RACE - One race,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - Asian,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Some other race,Percent; RACE - Two or more races
"Census Tract 812.01, Cook County, Illinois",97.8,83.4,1.4,0,12.6,0,0.3,2.2
"Census Tract 812.02, Cook County, Illinois",98.4,87.7,0,0,5,0,5.8,1.6
"Census Tract 813, Cook County, Illinois",100,82.2,4,0,13.8,0,0,0
"Census Tract 814.01, Cook County, Illinois",99.4,68,17,0,13.1,0,1.4,0.6
"Census Tract 814.02, Cook County, Illinois",97.8,82.1,0.4,0.6,14.7,0,0,2.2
"Census Tract 814.03, Cook County, Illinois",97.2,70,1.5,0,22.7,0,3,2.8
"Census Tract 815, Cook County, Illinois",98,79.3,3,0,15.4,0,0.3,2
"Census Tract 816, Cook County, Illinois",93.9,75.4,1.4,0,12.6,0,4.5,6.1
"Census Tract 817, Cook County, Illinois",100,75.2,4.3,0,11.8,0,8.6,0
"Census Tract 818, Cook County, Illinois",97.5,82.4,2.7,0.6,9.3,0,2.5,2.5
"Census Tract 819, Cook County, Illinois",97,32.1,54.5,0,9.6,0,0.8,3
"Census Tract 901, Cook County, Illinois",99.2,96.8,0,0,1.7,0,0.7,0.8
"Census Tract 902, Cook County, Illinois",97.5,94.2,0,0,2.7,0,0.6,2.5
"Census Tract 903, Cook County, Illinois",99.7,99,0,0,0.7,0,0,0.3
"Census Tract 1001, Cook County, Illinois",94.2,83.1,1,0,7.6,0,2.6,5.8
"Census Tract 1002, Cook County, Illinois",97,82.8,2.3,0.9,2.5,0,8.4,3
"Census Tract 1003, Cook County, Illinois",98.8,93.9,1.2,0.1,1.5,0,2.2,1.2
